time_of_day,8:00,8:05,8:10,8:15,8:20,8:25,8:30,8:35,8:40,8:45,8:50,8:55,9:00,9:05,9:10,9:15,9:20,9:25,9:30,9:35,9:40,9:45,9:50,9:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00
golden_zephyr,3,3,4.25,4.75,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.25,6,6.25,6.75,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,8.5,9,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,10,10,10,10,10,8.333333333,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
goofys_sky_school,3,3,4,5,4.333333333,4.25,5,5,5,5,5.75,6.25,6.25,6.5,7.25,8,8.75,10,10.25,10,10,11.25,12.5,12.5,13.5,15.25,17.25,18,20,21.25,21.25,22.5,25,27.75,30.75,34.5,36.25,36.25,36.25,34.5,34.5,37,36,33,33.5,37,38.5,39.5,40,40,38.75,35,34.25,36.75,37.5,38.25,38.75,38.75,38.75,40,42,40.5,38.5,38.5,39,37.5,41.25,45,45,44.25,43,39.25,36.25,36.25,36.25,35,35,37.5,40,39.5,38.5,40.5,41.25,40,38.25,37.5,37.5,35.25,33.5,34.25,35,39,44.25,45,43,39.25,37.5,37.5,35.75,33.75,35,36,36.25,36.25,36.25,36.25,36.25,36.25,36.25,37.5,38.75,38.75,37,34,31.5,32.25,32.5,33.75,35,35,35,35,35,35,35,33,30,27.5,23,22,22.25,24.75,30.25,33.75,35,36.25,36.75,37.5,36.5,34.75,33.75,33.75,33.75,33.75,34.25,33.75,32.75,32.25,28.75,26,26.25,26.25,27.5,27,25.75,26.25,26.25,26.25,23.75,23.25,23,22.5,22.5,22.5,21.25,18.25,16,14,11.75,13.33333333,14,14,13.33333333,14,14,13.33333333,13.33333333,13.33333333,12.33333333,12.33333333,17.5
grizzly_river_run,no,no,no,no,no,no,no,no,no,no,no,no,2.666666667,3.5,4.75,5,5,5,5,5,5,5,5,5,5.5,6.25,8.25,10,10,10,10,10.75,11.75,13.5,13.75,15.75,18.25,18.75,18.75,19.5,20.75,23.25,25.5,25.5,25,24.5,24,27,30,30.75,30.75,30,30,30,30,30,28.25,26.25,26.25,28.75,32,34,34.5,36.5,37,34.5,33.75,34.75,35.5,35.75,36,36.25,37.5,37.5,36.25,33.75,30.75,30.75,31.5,33.5,36.25,37.5,37.5,37.5,35.75,33.75,33.75,33.75,32.5,32.5,33.75,32,29.25,28,27,25,23.25,22.5,22.5,23,20,16.25,16.25,16.25,16.25,16.25,16.25,17,17.5,16.25,15,15,15.75,13.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,8,5,5,5.5,5.5,6.25,7.5,7.5,6.25,5,5,5,5,5,5,5.75,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.75,7.5,7.5,7.5,8.333333333,7.666666667,6.666666667,6.666666667,6,5,5,5,5,5,5,5,no,no,no,no,no,no,no,no,no,no,no,no
guardians_of_the_galaxy,4,5.25,13.25,17.5,15.25,14.25,13.75,13.75,13,12.5,13.5,18.25,22,24,26.25,29.25,32.5,34.25,36.75,37.25,37.25,38.5,41,40.5,35.5,32.25,32.75,37.25,41.25,45.25,48.5,48.75,47,44,45.25,41,39,40,41.5,41.25,41.25,42.5,40.75,41.75,44.5,45.5,46.25,49.25,51,50,47.5,47.5,48.5,50,49.5,45.25,45,47.5,46.25,45.5,45.25,47,48.5,48.75,49,50.5,55.5,59.75,59,56.5,56.25,56.5,57,56.25,57.25,58.75,57.5,57,53.75,51,55.25,58.75,58.75,59.5,58.75,56.5,58.5,57.5,54.75,54.75,52,47.75,49.5,50.75,52.5,51.25,52,53.75,55.75,58.75,58.75,57,55,48.75,47.5,50,52,52.5,52.5,53.25,56.5,60,59.5,58.75,60.75,63.75,63.75,60.75,57.5,56.25,57.5,57.5,57.5,57.5,58.75,60,57.5,57.5,60,57,56.5,56,52,50,55,58.5,57.5,56.75,56.5,53,47,44,45.75,50.5,54,55.25,56.25,54.5,53.75,55.5,56.5,55,51.25,47.75,44.5,43.25,43,40,40,41.25,41,40.5,43,43.25,42.25,45,47.5,47.5,47,51,48.33333333,48.33333333,51,53.33333333,53.33333333,53.33333333,50,43.33333333,36.66666667,33.33333333,27.5
incredicoaster,3.666666667,7,8.75,8.75,9.5,12,13.75,13.75,13,13.5,15.25,19.5,21.25,20.25,21,20.75,20.75,20.25,20.25,18.75,17.25,15.75,20.25,26.25,30,32,33.75,33.75,32,30,29.5,28.75,27.75,26.5,26.25,26.25,26.25,28.25,30,31.25,32.5,33.75,35,35,35,35,35,35,35,36.75,40.5,41.25,39.25,34.5,31.25,31.5,35,37,38.75,38.75,38.75,38.75,38.75,38.75,38.75,38.75,38.25,37.5,37.5,37.5,37.5,37.5,38.25,38.75,40,41.25,41.25,41.25,41.25,38.75,37.5,37.5,37.5,40,43.25,43.75,43.75,43.75,43.75,40.5,38.75,38.75,37,35,35,35,35,35,35,34.25,32.75,32.5,32.5,32,31.25,31.75,31.25,31.25,32.5,33.75,35,35,36.25,38.75,40,40,40,38.75,38.75,40,40.5,40,38.75,38.75,38.75,38.25,37.5,37.5,34.5,32.5,34.25,35.75,36.25,36.25,37.75,38.75,38.75,40.5,41.75,42.5,42.5,39.5,37,36.25,36.75,38.25,38.75,36.75,35.75,34.5,32,35,35,34.33333333,33.33333333,33.33333333,33.33333333,34.33333333,30.66666667,26.66666667,26.66666667,26.66666667,26.66666667,26.66666667,26.66666667,26.66666667,26.66666667,26.66666667,26.66666667,26.66666667,26.66666667,26.66666667,26.66666667,26.66666667,26.66666667,27.5,27.5,30,30,30,30
inside_out_emotional_whirlwind,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,8.333333333,8.333333333,8.333333333,8.333333333,10,11.66666667,12.66666667,16,19.33333333,20,20,20,20,20,20,20,20,20,20,20,20,20,20,21.66666667,23.33333333,25,26.66666667,26.66666667,26.66666667,26.66666667,26.66666667,26.66666667,26.66666667,25,23.33333333,23.33333333,23.33333333,21,18.33333333,18.33333333,21,23.33333333,23.33333333,23.33333333,23.33333333,23.33333333,23.33333333,23.33333333,23.33333333,23.33333333,23.33333333,23.33333333,23.33333333,23.33333333,23.33333333,21.66666667,20,22.33333333,25,25,25,25,25,25,25,29.33333333,33.33333333,35,36.66666667,31.66666667,28.33333333,30,29,28.33333333,28.33333333,28.33333333,28.33333333,25,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,25,22.5,22.5,22.5,22.5,22.5,29,35,35,35,35,31.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,22.66666667,27.66666667,31.66666667,31.66666667,31.66666667,34.33333333,38.33333333,37.66666667,35,35,35,29.33333333,23.33333333,23.33333333,23,22.33333333,19.33333333,16.66666667,16.33333333,15.66666667,15,14.66666667,14.33333333,14,13.33333333,12.66666667,12.66666667,12,9.666666667,9.333333333,9,8.666666667,8.333333333,9.5,9,8.5,8,7,6.5,6,5.5,5,5,5,5
jessies_critter_carousel,2,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.75,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.5,7,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.75,8,8,8.25,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,9.5,10,9.5,9,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.25,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,8.25,8,7.5,7.5,7.5,7.5,7.5,7.5,7.5,8,8.75,8.75,8.75,8.75,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
jumpin_jellyfish,2.5,3.5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.5,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,7,7.5,7.5,10.75,13.75,13.75,13.75,13.75,13.75,13.75,14.5,15,13.75,12.5,11.75,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.5,11.75,12.25,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,11.25,10,10.5,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.75,11.75,11.25,11.25,11.25,15.75,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,13.75,12.5,12.5,12.5,12.5,13,13.75,13.75,13.75,13.75,13.75,13.75,12.75,12.5,12.5,12.5,12.5,12.5,13.75,16.5,18.25,18.75,18.75,18.75,18.75,18.75,18.75,18.75,19.5,20,20,20,20,20,19.75,19.5,19.25,19,18.75,18.5,18.5,18.25,18,17.75,17.5,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,20
luigis_rollickin_roadsters,3,3,5,5,5,4,5,5,5,5,5,5,4.666666667,5.666666667,7.666666667,11,12.66666667,13,13,13,13.33333333,15,16.66666667,18,20.33333333,22,22.33333333,20.66666667,15.5,16.5,16.25,15.75,17,18.25,19.75,19.75,18.25,18,18.5,20.25,19,19,20.25,21.75,23,24.25,24.25,24.25,24.5,23.25,22,22,22.5,23.5,23.5,24,25.5,26.25,26.25,26.25,26.25,30,30,27.33333333,23.33333333,21,20.66666667,23.33333333,26.66666667,26.66666667,28.33333333,31.66666667,33.33333333,33.33333333,33.33333333,31.66666667,30,29.33333333,28.33333333,28.33333333,28.33333333,28.33333333,28.33333333,26,23.33333333,23.33333333,25,28.33333333,28.33333333,26.66666667,26.66666667,26.66666667,26.66666667,26.66666667,29,31.66666667,31.66666667,31.66666667,30,27.33333333,26.66666667,26.66666667,26.66666667,26.66666667,26.66666667,26.66666667,26.66666667,26.66666667,28.33333333,28.33333333,26.66666667,26.66666667,26.66666667,25,26.66666667,28.33333333,30,30,30,30,30,28.33333333,26.66666667,26.66666667,26.66666667,29,31.66666667,32.33333333,33.33333333,28.33333333,24,21.66666667,21.66666667,21.66666667,22.33333333,25,29,31.66666667,31.33333333,31.33333333,28,24.66666667,24.33333333,24.33333333,21,17.66666667,17.33333333,16.66666667,16.66666667,16.66666667,17.33333333,20,19,16.66666667,17.33333333,18.33333333,17.33333333,16.66666667,14.33333333,12.66666667,13.33333333,13.33333333,13.33333333,13.33333333,13.33333333,10.66666667,8.333333333,8.333333333,9,11,10,10,10,10,10,10,8.5,7.5,7.5,7.5,7.5
maters_junkyard_jamboree,2.666666667,2.666666667,5,5,5,5,5,5,5,5,5,5,4.25,4.25,4.5,5,5.75,6,6.5,7.25,10,12.5,12.5,13.25,14,14.5,14.75,14.25,14.75,15.75,15.75,15.75,14,12.25,12.25,13.25,14.25,15,16.25,18.25,19,19.5,19.5,20,20,20.5,19.75,19.75,19.75,19.75,18.75,17.5,18,18,18.5,19.75,21.5,21.5,21.75,21.75,23,23.33333333,21.66666667,20,20,20,20,20,20,20,20,20,18.33333333,16.66666667,19.33333333,21.66666667,19.33333333,16.66666667,18.33333333,20,20,20,20,20,20,20,20,20,20,20,20,20,20,18.33333333,16.66666667,16.66666667,16.66666667,17.33333333,18.33333333,18.33333333,18.33333333,18.33333333,18.33333333,18.33333333,18.33333333,20,20.66666667,19,16.66666667,15,15,15,15.66666667,17.33333333,18.33333333,21.66666667,25,25,25,23.33333333,20.66666667,20,19,20,19,16.66666667,16.66666667,16.66666667,16.66666667,15,13.33333333,13.33333333,13.33333333,13.33333333,15,16.66666667,16.66666667,16.66666667,16.66666667,16.66666667,16.66666667,16.66666667,16.66666667,16.66666667,16.66666667,16.66666667,16.66666667,15.66666667,15,15,15,15,15,14,13.33333333,11.66666667,10,10,10,8.333333333,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,7.5,7.5,6.5,5,5,5,5,5,5,5,5,5
monsters_inc,2,3.333333333,5,5,5,5,5,5,5,5,4.5,5,5,5,5,5,5,5,5,6.25,9.25,11.25,11.25,12,14.5,17.25,18.75,18.75,18.75,18.75,20.25,20,18.75,18.75,18.75,18.75,18,18.75,19.25,19.25,20,19.25,19.75,24.25,26.75,23.75,23.75,24.25,25.5,26.75,27.5,27.5,27.5,27.5,27.5,27.5,27.5,26.25,25.5,26.25,26.25,26.25,28.25,30,30,29.75,29.75,29.5,26,22.75,24.5,25,25,24.75,24.5,24.5,24.25,25.25,26.5,26.25,26,26,25.5,22.5,24.25,26.25,27.5,28.75,29.25,28.75,27.5,27.5,27.5,28.25,28.75,28.75,28.25,27.5,26.75,26.25,25.5,25,25,25,25,25,25,25,25,25,25,25,24.75,25,26.75,28.5,28.5,28.5,28.25,27,25.75,25.5,25.5,25.5,25.5,22.75,20.25,20.25,20,20,20,20.25,21,19.75,18.5,18.5,18.5,18.75,20,20.5,20.25,20,18,16.75,17.5,17.75,17.75,17.75,17.75,17.5,17,13.75,13.75,13.5,13.75,13,12.5,12.5,12.5,11.25,10,10.75,11.25,11.25,10.75,8.75,7.5,7,6.25,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,7.5
pixar_pal_a_round,3,4.5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.75,6.25,6.75,8,10,14.5,17.5,20,23,22.5,21.25,21.25,20.5,20,20,22,23.75,23.75,23.75,24,23.75,25,26.25,26.75,27.5,27.5,27.5,27.5,29.25,31.25,28.75,27.5,28.75,31.25,35.5,35,31.75,30.75,31.25,31.25,31.25,32.5,33.75,32.5,33,35,35,34,32.5,32.5,32.5,32.5,34.25,33,30,30,30,30,30,30,30,30,30,32,33,35,35,31.75,33.25,35,35,35,35,35,31.75,30,31.25,31.25,32.5,33.25,31.75,32.5,31.25,28.75,28.75,28.75,28,31.75,36.25,36.25,36.25,38.75,38,36.25,37.5,35,32.5,31.25,31.25,33,36.75,38.75,38.75,37,35,31.75,28.75,28.75,28.75,28.75,23.75,18.75,18.75,21.25,26.66666667,26.66666667,25,25,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
radiator_springs_racers,15,19.25,34.5,38,40,37.5,36.25,34.5,33.75,32.5,33.75,38.25,43.75,45.5,51.5,56.75,58.75,58.75,58.75,62.5,66.75,67.5,72,76.25,78.75,80,82.5,83.75,86.25,87.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5,86.25,86.25,87.5,87.5,87.5,87.5,89.25,91.25,91.25,91.25,91.25,87.5,83.75,83.75,83.75,85,86.25,85.5,85,85,85,86.75,88.75,90.5,92.5,94.5,96.25,95,93.75,93.75,93.75,93.75,93.75,94.5,96.75,98.75,98.75,98.75,98.75,98.75,100.75,102.5,102.5,103.75,105,107.5,110,108,106.25,106.25,106.25,108,111.75,113.75,113.75,113.75,113.75,115.75,117.5,117.5,117.5,117.5,117.5,117.5,111.75,106.25,106.25,106.25,106.25,108,108.75,107.5,107.5,107.5,109.5,111.25,111.25,114.25,119.5,111.25,101.75,104.5,107.5,113,117,117.5,116.25,116.25,110.75,105,105,105,105,106.75,102.5,96.25,100,98.75,93.75,93.75,93.75,91.75,90,90,88.75,92.5,98,101.25,103.75,102.5,102.5,102.5,96.75,91.25,93.75,96.25,96.25,96.25,94.25,88.75,83,81.25,81.25,81.25,81.25,78.75,76.25,74.5,74.5,72.5,63,57.5,58.33333333,53.33333333,48.33333333,43.33333333,43.33333333,43.33333333,41.66666667,40,40,37.33333333,35,32.5
soarin,6.75,6.75,13.75,13,13.75,15,15.5,15,15.75,17.5,16.25,16.25,17.5,17.5,18.75,23.75,28.75,32.5,36.25,40.5,41.25,40,41.25,42.5,45,46.25,46.25,40.75,35,38,40,38.75,38.75,38.75,40.5,44.25,48.75,53.25,55,55,50,44.75,43.25,42,43.5,49.25,53.75,50.5,48.75,50,50,50,50,47.5,45.5,46.25,45.75,45,45,45,43.75,43.25,43.75,45.75,48.75,48,50,53.75,53.75,57.5,61.25,62.5,61.25,56.25,53.75,46.75,45,44.5,44.25,47.5,51.75,53.75,53.75,49.5,45.5,45,45.5,47.5,47.5,48.25,47.25,44.25,45.5,47.5,48.75,48.75,50,52.25,52.5,48.75,43.75,42.5,40.75,41.25,45.5,47.5,49.25,51.75,53.25,55.75,56.75,55.5,55,51,47,48,50,50.75,48,41.25,38,39.25,40.75,41.75,42.5,40.5,40,41.25,43,46.25,43,43,46.25,48,49.75,50.5,47.5,43.5,44.5,45.5,44.25,41.75,38.75,37,36.25,34.75,36.75,38,42.5,45.5,45,45,39.25,33.75,32,25.5,18.25,17,20,21.75,22.5,23.75,27,31,36,34.75,31.75,27.5,22.25,23.33333333,20.66666667,18.33333333,19,20,16.66666667,13.33333333,12.33333333,11.33333333,11.66666667,11.66666667,10
the_little_mermaid,2,2,4.333333333,4.5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6.25,7.5,8,9.25,10.75,11.25,11.25,11.25,12,12.5,12.5,13.25,13.75,15,17.5,21.5,23.75,23.75,24.25,25,25,25,25,25,25,25,25,25,22,18.75,18.75,18.75,18.75,17.5,16.25,17,18.75,19.5,20,20,20,20,20,21,22.25,22,22,21.75,21,20.25,20,20,19.75,19.75,19.5,19.25,19.25,19,19,18.75,16.25,17.5,18.75,18.75,18.75,17.5,16.25,16.25,16.25,16.25,15,14.5,14.5,13.75,13.75,13.75,13.75,13.75,13.75,13.75,13.75,13.75,14.25,15,15,14.25,13.75,13.75,11.75,10,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,12,12.5,12.5,12.5,12.5,12.5,12.5,12.5,13.25,13.75,13.75,13.75,13.75,13.75,13.75,13.75,13.75,13.75,13.75,13,12.5,12.5,10.75,8.75,8.75,8.75,8.75,8.75,7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
midway_mania,2.333333333,2.333333333,5.666666667,6.666666667,8.333333333,12.33333333,19.66666667,25,24.66666667,25,28.33333333,34.33333333,48,60,52.33333333,43.33333333,34.75,38.75,40,40.5,43.75,45,48,51.25,51.25,48.25,45,47.5,52.25,59.5,61.25,60,61.25,65,67.5,62.5,55.75,53,52.5,55.5,58.75,56.75,55,56.75,58.75,58.75,56.25,55.5,57.5,53.75,50,50,51.25,53.25,56.25,58,60,62.5,62.5,63.75,65.5,66.25,66.25,66.25,61.25,56.25,56.75,57.5,65,66.25,70.75,78,81.25,81.25,81.25,79.5,77.5,76.75,78.25,81.25,82.5,82.5,82.5,75.75,70.75,68,63.75,65.5,67.5,66.75,67.5,70.5,72.5,72.5,77.5,80,77.5,77.5,75.5,72,70,70,70,70,70,70.5,70,68.75,68.75,68.75,68.75,68.75,68.75,68.75,68.75,68.75,65.5,61.25,57.25,55,58,63.75,65,63.75,66.25,72,69.25,63.75,63.75,60.5,56.25,56,59,60.5,62.25,67.75,64,61.25,63.25,63.5,64.75,68.5,71,69.75,70.25,70,68,66,62.25,60.5,57.25,54,54,53.75,53.5,48.25,43,42.75,42.75,40.5,41,38,36.75,43,46.75,48.75,46.25,42.5,38,36.66666667,33.33333333,30,28.33333333,26.66666667,23.33333333,18.33333333,17.33333333,21.66666667,21.66666667,20,17.5